NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.3616,202408,14,"54,800",205,12,개인,개인,2013,화삼로 12,-,중개거래,제주 제주시,25.01.10
2,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,75.18,202408,14,"59,900",211,4,개인,법인,2006,수덕로 44,-,중개거래,제주 제주시,24.11.19
3,제주특별자치도 서귀포시 서홍동,347-2,347,2,형남,84.74,202408,14,"28,000",-,6,개인,개인,2009,홍중로 67,-,중개거래,제주 서귀포시,24.09.06
4,제주특별자치도 서귀포시 동홍동,157,157,0,동홍동코아루,60.9375,202408,14,"27,500",-,7,개인,개인,2013,일주동로 8565,20241008,중개거래,제주 서귀포시,-
5,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,84.991,202408,14,"53,000",104동,10,개인,개인,2017,대청로 34,-,중개거래,제주 서귀포시,24.09.27
6,제주특별자치도 제주시 연동,294-107,294,107,현암노블레스빌1차,69.08,202408,14,"20,500",-,6,법인,개인,2005,신대로18길 22,-,중개거래,제주 제주시,24.09.06
7,제주특별자치도 제주시 연동,Apr-07,2307,4,연동정한,73.1,202408,14,"14,000",가,1,개인,개인,1992,일주서로 7882,-,직거래,-,24.09.09
8,제주특별자치도 제주시 연동,280-24,280,24,라이오니파크1차,46.0331,202408,14,"20,700",-,4,개인,법인,2018,신대로8길 34,-,중개거래,제주 제주시,24.09.30
9,제주특별자치도 서귀포시 중문동,1701-3,1701,3,이화빌라,74.84,202408,13,"8,500",-,4,개인,개인,1990,중문상로 100-4,-,직거래,-,24.09.10
10,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,84.89,202408,13,"31,000",109동,2,개인,개인,2016,중문상로82번길 15,-,중개거래,제주 서귀포시,24.08.21
11,제주특별자치도 서귀포시 강정동,193,193,0,서귀포강정골드클래스,84.9789,202408,13,"48,700",104동,12,개인,개인,2017,대청로 11,-,중개거래,제주 서귀포시,24.09.30
12,제주특별자치도 제주시 삼양이동,2318,2318,0,제주삼화사랑으로부영3차,84.3616,202408,13,"54,500",301,10,개인,개인,2013,화삼로 167,-,중개거래,제주 제주시,24.09.02
13,제주특별자치도 서귀포시 중문동,1802,1802,0,포레나제주중문,84.9685,202408,13,"60,000",104동,7,개인,개인,2023,중문상로82번길 45,-,중개거래,제주 서귀포시,24.08.29
14,제주특별자치도 제주시 외도일동,560-2,560,2,부영(2차),84.9873,202408,13,"27,000",부영아파트 201,1,개인,개인,2001,우평로 318,-,직거래,-,24.08.26
15,제주특별자치도 제주시 외도일동,491-4,491,4,제이시티팰리스3차,68.52,202408,13,"43,000",제이시티팰리스3차,11,개인,개인,2023,우정로10길 26,-,직거래,-,24.09.03
16,제주특별자치도 서귀포시 서호동,1545,1545,0,HausD블루오션,84.94,202408,13,"45,500",209동,7,개인,개인,2015,서호남로 92-16,-,중개거래,제주 서귀포시,24.09.25
17,제주특별자치도 제주시 삼도이동,599-3,599,3,수미안아파트,80.47,202408,12,"36,000",-,10,개인,개인,2019,서사로 73,-,직거래,-,24.09.20
18,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,110.9718,202408,12,"84,500",108동,6,개인,개인,2017,대청로 34,-,중개거래,제주 서귀포시,24.09.30
19,제주특별자치도 제주시 외도일동,426-1,426,1,일우한란,75.21,202408,12,"17,300",101,6,개인,개인,1993,도근내길 2,-,중개거래,제주 제주시,24.09.04
20,제주특별자치도 제주시 오라이동,1365,1365,0,헤르지아,84.57,202408,11,"40,700",-,3,개인,개인,2015,연사3길 9,20250102,중개거래,제주 제주시,-
21,제주특별자치도 서귀포시 동홍동,388-1,388,1,가나노블휘닉스,83.3861,202408,11,"25,800",-,7,개인,개인,2011,태평로 505,-,중개거래,제주 서귀포시,24.09.03
22,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,84.67,202408,11,"60,500",218,9,개인,개인,2006,수덕로 44,-,중개거래,"경기 남양주시, 제주 제주시",24.08.29
23,제주특별자치도 서귀포시 동홍동,1369,1369,0,동홍동센트레빌,59.8882,202408,11,"36,000",102동,5,개인,개인,2021,중앙로182번길 40,-,중개거래,제주 서귀포시,24.11.26
24,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.87,202408,11,"19,800",515,3,개인,개인,1999,중산간동로 8002,-,중개거래,제주 서귀포시,24.09.23
25,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.87,202408,11,"19,800",-,3,개인,개인,1999,중산간동로 8002,20240813,중개거래,제주 서귀포시,-
26,제주특별자치도 제주시 도남동,811,811,0,도남해모로리치힐아파트,84.9908,202408,11,"67,500",102동,1,개인,개인,2019,도남서길 14,-,중개거래,제주 제주시,24.10.08
27,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.896,202408,11,"21,800",102,10,개인,개인,2000,우정로11길 22,-,중개거래,제주 제주시,24.08.14
28,제주특별자치도 제주시 오라이동,1365,1365,0,헤르지아,84.57,202408,11,"40,700",103,3,개인,개인,2015,연사3길 9,-,중개거래,제주 제주시,25.01.03
29,제주특별자치도 제주시 오라이동,1365,1365,0,헤르지아,84.57,202408,11,"40,700",-,3,개인,개인,2015,연사3길 9,20241113,중개거래,제주 제주시,-
30,제주특별자치도 제주시 오라이동,1365,1365,0,헤르지아,84.57,202408,11,"40,700",-,3,개인,개인,2015,연사3길 9,20250102,중개거래,제주 제주시,-
31,제주특별자치도 제주시 건입동,661,661,0,건입이화,84,202408,10,"22,400",-,2,개인,개인,1997,임항로 239,-,중개거래,제주 제주시,24.08.30
32,제주특별자치도 제주시 일도이동,Jan-47,47,1,일도신천지,59.97,202408,10,"26,000",109,2,개인,개인,1993,천수로 72,-,중개거래,제주 제주시,24.08.14
33,제주특별자치도 제주시 이도이동,1956,1956,0,이도한일베라체,84.67,202408,10,"70,000",103,12,개인,개인,2011,신설로 55,-,중개거래,제주 제주시,25.01.16
34,제주특별자치도 제주시 노형동,Jan-85,2585,1,중흥에스클래스(미리내마을),120.9434,202408,10,"86,000",103,8,개인,개인,2006,광평동로 66,-,중개거래,제주 제주시,24.08.30
35,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,84.991,202408,10,"49,900",102동,7,개인,개인,2017,대청로 34,-,중개거래,제주 서귀포시,24.10.30
36,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,84.67,202408,9,"59,800",208,11,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,24.11.11
37,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,84.67,202408,9,"59,800",-,11,개인,개인,2006,수덕로 44,20240809,중개거래,제주 제주시,-
38,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,74.9261,202408,9,"24,920",-,4,개인,법인,2019,일주동로 8547-10,20241011,직거래,-,-
39,제주특별자치도 제주시 노형동,732-1,732,1,해오름,59.56,202408,9,"50,500",103,4,개인,개인,2001,연화로 16,-,중개거래,제주 제주시,24.12.06
40,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,84.9729,202408,9,"28,500",103동,2,개인,법인,2019,일주동로 8547-10,-,직거래,-,24.08.29
41,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,74.9261,202408,9,"24,700",103동,3,개인,법인,2019,일주동로 8547-10,-,직거래,-,24.08.30
42,제주특별자치도 제주시 노형동,754,754,0,부영5차,84.9508,202408,9,"64,000",-,8,개인,개인,2001,과원북2길 12,20240812,중개거래,제주 제주시,-
43,제주특별자치도 제주시 노형동,754,754,0,부영5차,84.9508,202408,9,"64,000",501,8,개인,개인,2001,과원북2길 12,-,중개거래,제주 제주시,24.09.13
44,제주특별자치도 서귀포시 강정동,158-1,158,1,윙스스카이2차,27.3,202408,9,"8,800",-,9,개인,개인,2013,신서귀로51번길 33,-,중개거래,제주 서귀포시,24.08.26
