NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,광주광역시 광산구 소촌동,869,869,0,소촌동대성베르힐,84.931,202308,14,"28,300",104,12,-,-,2011,소촌로86번길 20-17,-,중개거래,광주 광산구,23.09.25
2,광주광역시 북구 동림동,1334,1334,0,동림대광로제비앙,74.7877,202308,14,"39,000",101,13,-,-,2020,운암산길 48,-,중개거래,광주 북구,23.09.22
3,광주광역시 북구 두암동,850-19,850,19,청아맨션,84.61,202308,14,"10,500",1,12,-,-,1985,군왕로 119,-,중개거래,광주 북구,23.09.25
4,광주광역시 서구 금호동,787,787,0,중흥,59.46,202308,14,"19,000",107,13,-,-,2000,마재로 21,-,중개거래,광주 동구 광주 서구,23.09.15
5,광주광역시 서구 금호동,813,813,0,대주파크빌,59.99,202308,14,"21,400",108,14,-,-,2000,화개1로24번길 9,-,중개거래,광주 서구,23.09.22
6,광주광역시 서구 금호동,770-1,770,1,호반리젠시빌3차,84.7555,202308,14,"34,400",301,4,-,-,2001,금화로149번길 11,-,중개거래,광주 서구,23.09.08
7,광주광역시 서구 금호동,770-1,770,1,호반리젠시빌3차,84.7555,202308,14,"34,400",-,4,-,-,2001,금화로149번길 11,20230908,중개거래,광주 서구,-
8,광주광역시 남구 방림동,556-1,556,1,라인효친2,84.96,202308,14,"18,000",209,13,-,-,1989,용대로 131,-,중개거래,광주 서구,23.09.14
9,광주광역시 광산구 장덕동,1689,1689,0,새한포유,84.9401,202308,14,"50,500",104,11,-,-,2008,풍영로170번길 39-9,-,중개거래,광주 광산구,23.12.21
10,광주광역시 광산구 운남동,794-3,794,3,운남주공7단지,39.99,202308,14,"9,900",701,10,-,-,2001,목련로153번길 56,-,중개거래,광주 광산구,23.12.01
11,광주광역시 동구 소태동,1103,1103,0,무등산골드클래스,59.9834,202308,14,"36,000",102동,12,-,-,2018,학소로 109,-,중개거래,광주 동구,23.10.17
12,광주광역시 광산구 수완동,908,908,0,우미린2차,84.835,202308,14,"51,000",202,10,-,-,2008,왕버들로132번길 22,-,중개거래,광주 광산구,23.10.06
13,광주광역시 광산구 신창동,1128-4,1128,4,정원씨티캐슬,38.9235,202308,14,"12,800",-,2,-,-,2013,왕버들로265번길 5-7,-,중개거래,광주 광산구,23.08.16
14,광주광역시 동구 계림동,100-1,100,1,금호,59.85,202308,14,"27,400",103,16,-,-,1996,필문대로 12-7,-,중개거래,광주 동구,23.11.24
15,광주광역시 북구 매곡동,Jan-83,83,1,금호,84.84,202308,14,"23,000",105,10,-,-,1995,하백로46번길 10,-,중개거래,광주 광산구,23.10.27
16,광주광역시 동구 계림동,1815,1815,0,두산위브2차,39.862,202308,14,"17,700",209동,10,-,-,2018,계림로30번길 15,-,중개거래,광주 동구,23.08.14
17,광주광역시 서구 쌍촌동,278-1,278,1,쌍촌아너팰리스,63.771,202308,14,"23,600",쌍촌아너팰리스,16,-,-,2017,월드컵4강로 232,-,중개거래,광주 서구,23.12.11
18,광주광역시 광산구 신창동,1110,1110,0,신창3차부영사랑으로,59.748,202308,14,"23,500",310,17,-,-,2006,신창로161번길 34,-,중개거래,광주 광산구,23.09.20
19,광주광역시 북구 우산동,04월 01일,4,1,우미프라자,59.85,202308,14,"8,500",-,7,-,-,1993,평교로18번길 50,-,중개거래,광주 북구,23.08.21
20,광주광역시 서구 마륵동,803,803,0,한신휴플러스,84.8109,202308,14,"65,000",아파트 101동,15,-,-,2013,마륵복개로 98,-,중개거래,광주 서구,23.10.04
21,광주광역시 서구 치평동,1161-5,1161,5,금호4,84.985,202308,14,"37,500",405,10,-,-,1998,상무공원로 61,-,중개거래,광주 서구,23.11.14
22,광주광역시 광산구 도산동,May-56,56,5,보경해피드림,84.9546,202308,14,"25,000",102,8,-,-,2006,송도로212번길 54,-,중개거래,광주 광산구,23.09.04
23,광주광역시 광산구 산정동,1125,1125,0,어등산대방노블랜드,155.494,202308,14,"79,000",108,12,-,-,2013,용아로297번길 17,-,중개거래,광주 광산구,23.10.26
24,광주광역시 광산구 산정동,1056,1056,0,부영애시앙2차,84.8198,202308,14,"28,500",207,20,-,-,2008,목련로 41,-,중개거래,광주 광산구,23.10.26
25,광주광역시 북구 운암동,1033,1033,0,금호,84.748,202308,14,"21,000",-,15,-,-,1991,서강로 99,20230907,중개거래,광주 서구,-
26,광주광역시 동구 학동,1022,1022,0,무등산아이파크,84.9287,202308,14,"63,000",104동,3,-,-,2017,남문로753번길 20,-,직거래,-,23.08.17
27,광주광역시 북구 각화동,118-2,118,2,글로벌,59.98,202308,14,"15,000",102,5,-,-,2003,월동로 88,-,중개거래,광주 북구,23.10.13
