NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 제주시 이도이동,1956,1956,0,이도한일베라체,106.46,202208,14,"80,000",-,4,-,-,2011,신설로 55,-,중개거래,제주 제주시,-
2,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,68.93,202208,14,"32,500",-,2,-,-,2016,중문상로82번길 15,-,중개거래,제주 서귀포시 제주 제주시,-
3,제주특별자치도 제주시 도련일동,1910,1910,0,제주삼화사랑으로부영8차,84.9933,202208,14,"59,000",-,2,-,-,2016,화삼로 89,20220819,중개거래,제주 제주시,-
4,제주특별자치도 제주시 도련일동,1910,1910,0,제주삼화사랑으로부영8차,84.9933,202208,14,"59,000",-,2,-,-,2016,화삼로 89,-,중개거래,제주 제주시,-
5,제주특별자치도 서귀포시 서홍동,305-2,305,2,지오빌Ⅱ-2차,84.3708,202208,13,"36,000",-,6,-,-,2013,중앙로 189,-,중개거래,제주 서귀포시,-
6,제주특별자치도 제주시 조천읍 함덕리,4168,4168,0,광명샤인빌,59.2517,202208,13,"23,000",-,4,-,-,2006,함덕30길 27,-,중개거래,제주 제주시,-
7,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202208,13,"56,500",-,12,-,-,2016,대청로 12,-,중개거래,제주 서귀포시,-
8,제주특별자치도 서귀포시 안덕면 화순리,363-10,363,10,엘림피렌체,85.75,202208,13,"26,500",-,5,-,-,2016,화순중앙로 95,20220818,중개거래,제주 서귀포시,-
9,제주특별자치도 제주시 건입동,1044-8,1044,8,건입미화,59.87,202208,12,"15,000",-,1,-,-,1994,동문로21길 4-7,-,중개거래,제주 제주시,-
10,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,101.9934,202208,12,"74,000",-,4,-,-,2017,대청로 34,-,중개거래,제주 서귀포시,-
11,제주특별자치도 제주시 노형동,May-79,3779,5,인텔리젼트한빛,84.347,202208,12,"39,200",-,3,-,-,2004,1100로 3349,-,중개거래,제주 제주시,-
12,제주특별자치도 제주시 조천읍 함덕리,4168,4168,0,광명샤인빌,84.5989,202208,12,"36,500",-,5,-,-,2006,함덕30길 27,20220928,중개거래,제주 제주시,-
13,제주특별자치도 제주시 이도이동,1078-6,1078,6,부양장미2차,59.4,202208,11,"20,500",-,4,-,-,1995,오복2길 27,-,중개거래,제주 제주시,-
14,제주특별자치도 제주시 이도이동,1909-19,1909,19,이도동아,59.928,202208,11,"30,000",-,6,-,-,1996,독짓골8길 67,-,직거래,-,-
15,제주특별자치도 제주시 삼도일동,788-5,788,5,삼도이레빌2차,39.53,202208,10,"11,700",-,3,-,-,2012,충효길 28,-,직거래,-,-
16,제주특별자치도 제주시 삼양이동,Jun-13,2113,6,삼부비치,66.98,202208,10,"16,000",-,9,-,-,2003,지석15길 30,-,직거래,-,-
17,제주특별자치도 제주시 삼도일동,788-5,788,5,삼도이레빌2차,39.53,202208,10,"11,700",-,3,-,-,2012,충효길 28,-,중개거래,제주 제주시,-
18,제주특별자치도 제주시 화북이동,117,117,0,제주삼화엘에이치2단지,84.95,202208,10,"59,950",-,3,-,-,2014,화삼로 32,-,중개거래,제주 제주시,-
19,제주특별자치도 제주시 용담삼동,505,505,0,용두암현대1,83.55,202208,9,"34,000",-,7,-,-,1991,용담로5길 25,-,중개거래,제주 제주시,-
20,제주특별자치도 제주시 외도일동,496-1,496,1,아름지운아파트,78.7259,202208,9,"29,000",-,6,-,-,2016,우정로10길 19,-,중개거래,제주 제주시,-
21,제주특별자치도 제주시 노형동,1032-1,1032,1,노형미화1차,59.51,202208,9,"15,500",-,4,-,-,1995,월랑북1길 12,-,직거래,-,-
22,제주특별자치도 제주시 연동,279-2,279,2,벽강하이본타워,32.04,202208,9,"10,800",-,5,-,-,2003,신대로22길 40,-,중개거래,제주 제주시,-
23,제주특별자치도 서귀포시 동홍동,528-1,528,1,동홍동파밀리움,72.9905,202208,8,"30,500",-,2,-,-,2018,장수로 8,-,중개거래,제주 서귀포시,-
