NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,광주광역시 남구 진월동,312-7,312,7,광명,59.97,202408,14,"15,100",제 101,14,개인,개인,1998,광복마을길 63,-,중개거래,광주 남구,24.09.05
2,광주광역시 북구 동림동,1334,1334,0,동림대광로제비앙,84.9779,202408,14,"42,000",102,18,개인,개인,2020,운암산길 48,-,중개거래,광주 북구,24.08.30
3,광주광역시 북구 용봉동,1463,1463,0,용봉동금호어울림,102.7879,202408,14,"37,100",101,1,개인,개인,2005,설죽로279번길 19,-,직거래,-,24.09.10
4,광주광역시 북구 용봉동,1491,1491,0,용봉동한국아델리움비엔날레2차,65.4333,202408,14,"28,000",201동,4,개인,개인,2021,저불로69번길 24-3,-,중개거래,광주 북구,24.08.28
5,광주광역시 동구 계림동,100-1,100,1,금호,84.93,202408,14,"29,000",105,13,개인,개인,1996,필문대로 12-7,-,중개거래,광주 동구,24.11.29
6,광주광역시 동구 계림동,1827,1827,0,그랜드센트럴,59.9048,202408,14,"35,000",117,2,개인,개인,2020,경양로 234,-,중개거래,광주 동구,24.11.15
7,광주광역시 남구 방림동,566,566,0,방림광신프로그레스,84.813,202408,14,"34,000",101,8,개인,법인,2013,용대로 186,-,직거래,-,24.12.02
8,광주광역시 남구 방림동,562,562,0,무등산센트럴파크,59.9,202408,14,"28,700",110,6,개인,개인,2009,방림로 31,-,중개거래,광주 남구,24.09.26
9,광주광역시 북구 용봉동,973-1,973,1,삼성,59.76,202408,14,"13,000",7,4,개인,개인,1993,서하로 120,-,중개거래,광주 북구,24.10.31
10,광주광역시 동구 지산동,315-1,315,1,삼성,127.67,202408,14,"32,000",4,6,개인,개인,1991,밤실로30번길 11,-,중개거래,광주 동구,24.09.06
11,광주광역시 동구 산수동,12,12,0,동산로얄,116.28,202408,14,"16,000",11,8,개인,개인,1989,밤실로82번길 23,-,중개거래,광주 동구,24.08.30
