NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,부산광역시 남구 대연동,1872,1872,0,대연롯데캐슬레전드1단지,84.98,202408,14,"68,000",125동,24,개인,개인,2018,수영로 135,-,중개거래,부산 남구,24.12.26
2,부산광역시 남구 대연동,1872,1872,0,대연롯데캐슬레전드1단지,84.95,202408,14,"69,500",-,6,개인,개인,2018,수영로 135,20241030,중개거래,"대구 동구, 부산 남구",-
3,부산광역시 남구 대연동,Jan-67,67,1,금보,75.15,202408,14,"19,500",-,2,개인,개인,1984,수영로298번길 18,-,직거래,-,24.09.10
4,부산광역시 남구 대연동,1872,1872,0,대연롯데캐슬레전드1단지,59.94,202408,14,"55,000",112동,21,개인,개인,2018,수영로 135,-,중개거래,부산 남구,24.09.06
5,부산광역시 동래구 온천동,1853,1853,0,동래래미안아이파크,59.9865,202408,14,"70,000",303,26,개인,개인,2022,충렬대로107번길 65,-,중개거래,부산 동래구,24.10.11
6,부산광역시 동래구 온천동,182-9,182,9,이안동래센트럴시티,61.9454,202408,14,"39,000",101동,36,개인,개인,2023,온천장로65번길 10,-,중개거래,"부산 금정구, 부산 동래구",24.10.14
7,부산광역시 동래구 온천동,758-12,758,12,동래SKVIEW,84.7556,202408,14,"58,800",104,19,개인,개인,2006,중앙대로1381번길 52,-,중개거래,"부산 동래구, 부산 연제구",24.10.31
8,부산광역시 동래구 온천동,1833,1833,0,동래삼정그린코아포레스트,84.7932,202408,14,"48,000",106동,25,개인,개인,2018,쇠미로 153,-,직거래,-,24.09.30
9,부산광역시 동구 수정동,1352,1352,0,협성휴포레부산진역오션뷰,69.5108,202408,14,"49,000",102동,17,개인,개인,2019,중앙대로 357,-,중개거래,부산 동구,24.10.29
10,부산광역시 부산진구 양정동,458-20,458,20,현대2차,59.95,202408,14,"27,000",215,3,개인,개인,1998,거제대로 37,-,중개거래,부산 부산진구,24.10.31
11,부산광역시 동래구 사직동,566-3,566,3,사직하늘채리센티아,59.9044,202408,14,"48,500",105동,23,개인,개인,2024,사직북로48번길 77,-,중개거래,부산 동래구,24.11.04
12,부산광역시 남구 용호동,176-30,176,30,엘지메트로시티4-2(230~238),85,202408,14,"48,800",238,9,개인,개인,2003,분포로 113,-,중개거래,부산 남구,24.10.31
13,부산광역시 서구 서대신동3가,769,769,0,대신더샵,84.96,202408,14,"53,500",103,15,개인,개인,2018,꽃마을로 48,-,중개거래,부산 서구,24.09.20
14,부산광역시 부산진구 부암동,09월 03일,9,3,일동미라주,84.9317,202408,14,"44,700",101,26,개인,개인,2007,동평로 218,-,중개거래,부산 부산진구,25.01.17
15,부산광역시 부산진구 부암동,500,500,0,화승,84.76,202408,14,"29,200",4,6,개인,개인,1997,당감로 80,-,중개거래,부산 부산진구,24.09.25
16,부산광역시 부산진구 부암동,332-6,332,6,미주,75.15,202408,14,"20,000",2,1,개인,개인,1986,동평로131번길 8,-,직거래,-,24.09.06
17,부산광역시 남구 문현동,1244,1244,0,문현경동리인아파트,72.5806,202408,14,"38,500",202동,8,개인,개인,2020,문현로 36-2,-,중개거래,부산 남구,24.11.25
18,부산광역시 남구 문현동,788-1,788,1,성동,48.73,202408,14,"44,500",나,1,개인,법인,1974,남동천로 58,-,중개거래,부산 남구,24.08.30
19,부산광역시 남구 용호동,176-30,176,30,엘지메트로시티1,60,202408,14,"35,000",102,3,개인,개인,2001,분포로 111,-,중개거래,부산 남구,24.08.28
20,부산광역시 동래구 사직동,597,597,0,한신,59.82,202408,14,"18,000",106,4,개인,개인,1999,쇠미로81번길 33,-,직거래,-,24.08.16
21,부산광역시 동래구 사직동,1055,1055,0,사직역삼정그린코아더베스트2차,72.63,202408,14,"54,500",203동,13,개인,개인,2018,사직로 16,-,중개거래,부산 동래구,24.11.15
22,부산광역시 부산진구 가야동,588,588,0,반도보라빌,71.6577,202408,14,"36,700",109,21,개인,개인,2005,가야공원로 41,-,중개거래,부산 부산진구,24.10.30
23,부산광역시 부산진구 전포동,362-64,362,64,한라비발디,84.8659,202408,14,"38,900",102,7,개인,개인,2005,전포대로 156,-,중개거래,"부산 부산진구, 부산 서구",24.09.23
24,부산광역시 부산진구 전포동,908,908,0,서면아이파크1단지,84.9385,202408,14,"76,300",101동,29,개인,개인,2021,동성로 50,-,중개거래,"부산 금정구, 부산 부산진구",24.10.21
25,부산광역시 중구 부평동4가,45,45,0,향원부평타워,79.99,202408,14,"23,500",-,7,개인,개인,2002,대청로 22,-,중개거래,부산 중구,24.10.15
26,부산광역시 부산진구 연지동,Jun-50,50,6,화인,59.72,202408,14,"21,000",102,6,개인,개인,1996,동평로291번길 30,-,중개거래,부산 부산진구,24.10.29
27,부산광역시 남구 대연동,1912,1912,0,대연자이,59.8922,202408,14,"57,400",107동,25,개인,개인,2019,유엔로 246,-,중개거래,부산 남구,24.10.11
28,부산광역시 남구 대연동,1872,1872,0,대연롯데캐슬레전드1단지,84.95,202408,14,"69,500",127동,6,개인,개인,2018,수영로 135,-,중개거래,"대구 동구, 부산 남구",25.01.02
29,부산광역시 해운대구 반여동,1581-22,1581,22,홍림센텀아파트,35.82,202408,14,"8,150",1,1,개인,개인,1991,재반로282번길 83,-,중개거래,부산 해운대구,24.09.10
30,부산광역시 해운대구 반여동,1691,1691,0,센텀KCC스위첸,64.98,202408,14,"50,500",101,8,개인,개인,2022,반여로 42,-,중개거래,부산 해운대구,24.09.06
31,부산광역시 북구 화명동,2324,2324,0,화명롯데캐슬카이저,98.07,202408,14,"64,900",402,16,개인,개인,2012,금곡대로 166,-,중개거래,부산 북구,24.08.30
32,부산광역시 남구 우암동,Jan-53,53,1,뉴서울,84.44,202408,14,"25,000",103,15,개인,개인,1996,유엔로 10,-,중개거래,부산 남구,24.10.31
33,부산광역시 사하구 감천동,589,589,0,더웰리스,84.785,202408,14,"20,300",-,8,개인,개인,2013,감천로21번길 41,-,중개거래,부산 사하구,24.09.23
34,부산광역시 해운대구 반여동,1660,1660,0,센텀롯데캐슬2차,59.9675,202408,14,"26,300",207,11,개인,개인,2005,반여로 68-12,-,중개거래,부산 해운대구,24.10.28
35,부산광역시 금정구 장전동,713,713,0,장전동금정산SKVIEW,84.997,202408,14,"54,500",113,11,개인,개인,2010,식물원로 64,-,중개거래,부산 금정구,24.10.15
36,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8952,202408,14,"82,500",105동,12,개인,개인,2017,금정로 20,-,중개거래,부산 금정구,24.11.14
37,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8952,202408,14,"82,500",105동,12,개인,개인,2017,금정로 20,-,중개거래,부산 금정구,24.11.14
38,부산광역시 해운대구 우동,1388-1,1388,1,경남마리나,84.93,202408,14,"99,800",105,11,개인,개인,1996,해운대해변로 99,-,중개거래,부산 해운대구,24.10.08
39,부산광역시 사하구 장림동,566-7,566,7,강남,84.945,202408,14,"11,900",2동,3,개인,개인,1992,장평로41번길 61,-,중개거래,부산 사하구,24.09.30
40,부산광역시 해운대구 우동,1408,1408,0,해운대 I PARK,110.152,202408,14,"147,000",주동2,60,개인,개인,2011,마린시티2로 38,-,중개거래,부산 해운대구,24.09.11
41,부산광역시 사하구 하단동,1217-1,1217,1,하단동에스케이뷰,74.2056,202408,14,"33,900",109,5,개인,개인,2004,하신번영로 400,-,중개거래,부산 사하구,25.01.23
42,부산광역시 해운대구 재송동,1051-2,1051,2,현대(1051-2),41.235,202408,14,"15,700",1,4,개인,개인,1988,해운대로81번길 60,-,중개거래,부산 해운대구,24.09.30
43,부산광역시 해운대구 중동,1793,1793,0,해운대래미안,84.9843,202408,14,"77,400",102,21,개인,개인,2014,좌동순환로 402,-,중개거래,부산 해운대구,24.09.30
44,부산광역시 해운대구 좌동,1394,1394,0,두산1차아파트,84.9,202408,14,"51,000",105,5,개인,개인,1996,양운로 182,-,중개거래,부산 해운대구,24.09.20
45,부산광역시 해운대구 좌동,1396,1396,0,대림,84.974,202408,14,"55,000",116,21,개인,개인,1996,대천로103번길 47,-,중개거래,부산 해운대구,24.11.29
46,부산광역시 해운대구 좌동,1288,1288,0,대동타운,50.575,202408,14,"28,700",512,8,개인,개인,1996,대천로103번길 29,-,중개거래,부산 해운대구,24.10.16
47,부산광역시 해운대구 좌동,1386,1386,0,롯데2,59.76,202408,14,"34,100",201,14,개인,개인,1998,좌동순환로 117,-,중개거래,"부산 동래구, 부산 해운대구",24.11.08
48,부산광역시 해운대구 좌동,1439,1439,0,벽산2,84.99,202408,14,"55,500",207,5,개인,개인,1996,좌동순환로299번길 11,-,중개거래,부산 해운대구,24.10.31
49,부산광역시 금정구 장전동,713,713,0,장전동금정산SKVIEW,59.979,202408,14,"39,000",115,1,개인,개인,2010,식물원로 64,-,중개거래,"부산 금정구, 부산 사하구",24.10.15
50,부산광역시 사하구 괴정동,213-6,213,6,극동스타클래스,59.8915,202408,14,"27,200",103,21,개인,개인,2007,대티로1번길 22,-,중개거래,부산 사하구,24.10.04
51,부산광역시 북구 만덕동,962,962,0,이편한세상금정산,84.9144,202408,14,"44,500",202,20,개인,개인,2021,상학로 36,-,중개거래,부산 북구,24.11.12
52,부산광역시 해운대구 우동,1388-4,1388,4,대우마리나1,134.6549,202408,14,"131,000",113,9,개인,개인,1991,해운대해변로 117,-,중개거래,부산 해운대구,25.01.31
53,부산광역시 해운대구 우동,1398,1398,0,해운대엑소디움,181.774,202408,14,"182,000",101,16,개인,개인,2009,해운대해변로 30,-,중개거래,부산 해운대구,24.12.19
54,부산광역시 해운대구 우동,1008-5,1008,5,동부올림픽타운,59.8,202408,14,"63,000",102,12,개인,개인,1999,해운대로 428,-,직거래,-,24.11.04
55,부산광역시 북구 화명동,1150,1150,0,동원로얄듀크,59.9905,202408,14,"28,200",103,22,개인,개인,2004,금곡대로 228,-,중개거래,부산 북구,24.10.30
56,부산광역시 사하구 다대동,820-1,820,1,다대영동비치타워,76.99,202408,14,"20,700",-,33,개인,개인,2005,다대동로 30,20240911,중개거래,부산 사하구,-
57,부산광역시 사하구 구평동,517,517,0,e편한세상사하,59.7184,202408,14,"23,000",101동,10,개인,개인,2016,서포로30번길 26,-,중개거래,부산 사하구,24.09.30
58,부산광역시 금정구 부곡동,225-56,225,56,대우우남이채롬,84.8027,202408,14,"29,200",102,2,개인,개인,2005,중앙대로1719번길 19,-,중개거래,부산 금정구,24.11.29
59,부산광역시 북구 화명동,2307,2307,0,화명2차현대,59.9358,202408,14,"29,500",202,15,개인,개인,2001,화명신도시로 48,-,중개거래,부산 북구,24.09.26
60,부산광역시 북구 화명동,1150,1150,0,동원로얄듀크,124.5622,202408,14,"41,500",108,1,개인,개인,2004,금곡대로 228,-,중개거래,부산 북구,24.10.18
61,부산광역시 기장군 기장읍 서부리,101,101,0,서부주공,46.2,202408,14,"17,500",109,10,개인,개인,2001,차성서로 123,-,중개거래,부산 기장군,24.10.31
62,부산광역시 사상구 주례동,519-6,519,6,주례맨션,47.91,202408,14,"15,000",13,1,개인,개인,1983,주례로10번길 110,-,중개거래,부산 사상구,24.08.14
63,부산광역시 수영구 광안동,744-32,744,32,유림주상복합,34.29,202408,14,"7,000",광안유림노르웨이아침,10,개인,개인,2004,장대골로7번길 45,-,직거래,-,24.08.14
64,부산광역시 수영구 광안동,526-1,526,1,광원,84.99,202408,14,"35,300",104,2,개인,개인,1995,광일로 63,-,중개거래,부산 수영구,24.11.12
65,부산광역시 사상구 주례동,55-139,55,139,경동윈츠빌,30.57,202408,14,"8,750",-,4,개인,개인,2004,냉정로 120,-,중개거래,부산 사상구,24.09.10
66,부산광역시 사상구 주례동,530-5,530,5,현대무지개타운,114.625,202408,14,"21,800",104,13,개인,개인,1993,주례로 93,-,중개거래,부산 사상구,24.09.05
67,부산광역시 수영구 광안동,526-1,526,1,광원,84.99,202408,14,"35,300",-,2,개인,개인,1995,광일로 63,20241112,중개거래,부산 수영구,-
