NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,부산광역시 남구 용호동,176-30,176,30,엘지메트로시티3,84.98,202308,14,"50,000",134,17,-,-,2002,분포로 111,-,중개거래,부산 남구,23.09.22
2,부산광역시 남구 용호동,487-8,487,8,수피아주상복합,83.92,202308,14,"25,200",-,12,-,-,2010,용호로 174,-,직거래,-,23.08.25
3,부산광역시 중구 중앙동4가,19,19,0,서린엘마르센트로뷰,52.5355,202308,14,"37,000",102,28,-,-,2021,대교로 157,-,중개거래,부산 중구,23.10.30
4,부산광역시 부산진구 개금동,02월 19일,19,2,현대,84.945,202308,14,"15,000",103,16,-,-,1992,개금본동로 34,-,중개거래,부산 부산진구,23.11.03
5,부산광역시 부산진구 범천동,859-16,859,16,세운이노빌,29.58,202308,14,"6,000",-,5,-,-,2003,황령대로 23,-,중개거래,부산 부산진구,23.08.14
6,부산광역시 해운대구 우동,1408,1408,0,해운대 I PARK,90.993,202308,14,"85,000",주동1,16,-,-,2011,마린시티2로 38,-,직거래,-,23.08.17
7,부산광역시 해운대구 우동,1388-1,1388,1,경남마리나,59.83,202308,14,"60,000",103,7,-,-,1996,해운대해변로 99,-,중개거래,부산 해운대구,23.09.18
8,부산광역시 해운대구 우동,1105,1105,0,센텀두산위브,105.9943,202308,14,"78,800",-,8,-,-,2014,해운대로383번길 93,20240814,중개거래,부산 해운대구,-
9,부산광역시 해운대구 재송동,1196,1196,0,더샵센텀스타,98.51,202308,14,"89,000",A,6,-,-,2008,센텀동로 123,-,중개거래,부산 해운대구,23.12.28
10,부산광역시 부산진구 부암동,746,746,0,서면동일파크스위트3차,67.882,202308,14,"37,200",308동,14,-,-,2017,동평로 162,-,중개거래,부산 부산진구,23.09.05
11,부산광역시 서구 남부민동,523-1,523,1,대림비치,59.89,202308,14,"21,000",102,13,-,-,2003,충무대로 133,-,중개거래,부산 서구,23.11.06
12,부산광역시 부산진구 부암동,736,736,0,서면동일파크스위트1차,79.4274,202308,14,"33,000",102,13,-,-,2014,동평로150번길 14,-,직거래,-,23.09.05
13,부산광역시 동구 범일동,62-720,62,720,한성기린,98.68,202308,14,"25,800",-,12,-,-,1997,중앙대로 514,-,중개거래,부산 동구,23.10.10
14,부산광역시 동래구 사직동,1058,1058,0,쌍용더플래티넘사직아시아드아파트,69.1821,202308,14,"77,800",106동,16,-,-,2020,아시아드대로134번길 14,-,중개거래,부산 동래구,24.03.19
15,부산광역시 서구 남부민동,523-1,523,1,대림비치,84.77,202308,14,"31,500",101,9,-,-,2003,충무대로 133,-,중개거래,부산 서구,23.09.11
16,부산광역시 동래구 명륜동,757,757,0,명륜아이파크1단지,62.636,202308,14,"58,500",-,19,-,-,2013,명륜로 170,20230823,중개거래,부산 동래구,-
17,부산광역시 동래구 명륜동,757,757,0,명륜아이파크1단지,62.636,202308,14,"58,500",102,19,-,-,2013,명륜로 170,-,중개거래,부산 동래구 부산 부산진구,23.10.24
18,부산광역시 동래구 명륜동,782,782,0,명륜2차아이파크1단지,59.9038,202308,14,"47,000",115,12,-,-,2015,시실로 49,-,중개거래,부산 동래구,23.09.22
19,부산광역시 부산진구 전포동,908,908,0,서면아이파크1단지,59.7846,202308,14,"50,000",121동,22,-,-,2021,동성로 50,-,중개거래,부산 부산진구,23.09.08
