NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 제주시 연동,1399-1,1399,1,대림이편한세상2차,84.978,202108,14,"92,500",-,10,-,-,2002,연화로 25,20210818,-,-,-
2,제주특별자치도 제주시 외도일동,440-1,440,1,상익푸르미르2차,57.2849,202108,14,"20,000",-,4,-,-,2017,우령8길 5-2,-,-,-,-
3,제주특별자치도 제주시 외도일동,560-2,560,2,부영(2차),84.9873,202108,14,"41,000",-,3,-,-,2001,우평로 318,-,-,-,-
4,제주특별자치도 서귀포시 중문동,1726,1726,0,e편한세상중문,84.9875,202108,14,"46,850",-,2,-,-,2021,일주서로731번길 10,-,-,-,-
5,제주특별자치도 제주시 연동,1399-1,1399,1,대림이편한세상2차,84.978,202108,14,"92,500",-,10,-,-,2002,연화로 25,-,-,-,-
6,제주특별자치도 제주시 월평동,747,747,0,제주첨단꿈에그린3단지아파트,84.7938,202108,14,"50,000",-,5,-,-,2018,첨단로동길 106,-,-,-,-
7,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.87,202108,14,"17,900",-,5,-,-,1999,중산간동로 8002,-,-,-,-
8,제주특별자치도 제주시 노형동,732,732,0,부영1차,80.6583,202108,14,"72,000",-,3,-,-,2001,원노형로 93,-,-,-,-
9,제주특별자치도 서귀포시 서홍동,2596,2596,0,스마트리치,57.855,202108,14,"22,500",-,4,-,-,2018,중앙로207번길 8,-,-,-,-
10,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,84.67,202108,14,"68,000",-,8,-,-,2006,수덕로 44,-,-,-,-
11,제주특별자치도 제주시 노형동,943,943,0,노형해모로루엔,84.9635,202108,14,"91,500",-,11,-,-,2019,원노형10길 20,-,-,-,-
12,제주특별자치도 서귀포시 강정동,193,193,0,서귀포강정골드클래스,84.9789,202108,14,"52,300",-,7,-,-,2017,대청로 11,-,-,-,-
13,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,110.9718,202108,14,"69,000",-,1,-,-,2017,대청로 34,-,-,-,-
14,제주특별자치도 제주시 조천읍 함덕리,4168,4168,0,광명샤인빌,59.2517,202108,13,"21,000",-,4,-,-,2006,함덕30길 27,-,-,-,-
15,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,68.93,202108,13,"29,800",-,3,-,-,2016,중문상로82번길 15,-,-,-,-
16,제주특별자치도 제주시 노형동,1061-1,1061,1,노형영진1차,59.86,202108,13,"18,500",-,1,-,-,1995,정존13길 23,-,-,-,-
17,제주특별자치도 서귀포시 서호동,1540,1540,0,제주서귀포혁신도시엘에이치1단지,74.94,202108,13,"45,250",-,12,-,-,2013,서호남로 92-15,20210924,-,-,-
18,제주특별자치도 제주시 아라일동,6142-13,6142,13,염광,46.32,202108,13,"23,000",-,1,-,-,1990,인다15길 5-11,-,-,-,-
19,제주특별자치도 제주시 노형동,945,945,0,유나이티드,42.75,202108,13,"16,400",-,1,-,-,1984,원노형10길 28,-,-,-,-
20,제주특별자치도 제주시 애월읍 애월리,1622,1622,0,혁승애월다움,83.6878,202108,13,"20,000",-,6,-,-,2017,애원로 11,-,-,-,-
21,제주특별자치도 서귀포시 표선면 표선리,1536-1,1536,1,청담휴클래스,84.9176,202108,13,"28,500",-,4,-,-,2016,표선동서로61번길 127,-,-,-,-
22,제주특별자치도 제주시 애월읍 애월리,1622,1622,0,혁승애월다움,84.0628,202108,13,"20,000",-,5,-,-,2017,애원로 11,-,-,-,-
23,제주특별자치도 제주시 연동,273-43,273,43,제주연동리슈빌디에스,27.2323,202108,13,"16,000",-,9,-,-,2018,노연로 103,-,-,-,-
24,제주특별자치도 제주시 일도이동,377-9,377,9,인제아파트,39.87,202108,13,"21,500",-,3,-,-,1975,고마로 91,-,-,-,-
25,제주특별자치도 제주시 화북일동,09월 01일,9,1,"화북주공2,3단지",59.93,202108,13,"33,950",-,7,-,-,1998,동화로1길 39,-,-,-,-
26,제주특별자치도 제주시 일도이동,Jan-46,46,1,혜성대유,59.82,202108,13,"26,000",-,1,-,-,1995,연수로 40,-,-,-,-
27,제주특별자치도 서귀포시 서홍동,299-1,299,1,"태봉그린피아(101,102,103동)",59.4557,202108,12,"13,000",-,4,-,-,2002,홍중로 92,-,-,-,-
28,제주특별자치도 제주시 노형동,753-1,753,1,중흥에스클래스,59.957,202108,12,"58,000",-,3,-,-,2003,한라대학로 107,-,-,-,-
29,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,84.7938,202108,12,"55,000",-,4,-,-,2017,첨단로동길 74,-,-,-,-
30,제주특별자치도 제주시 연동,294-85,294,85,엘리시아,30.13,202108,12,"10,650",-,4,-,-,2013,사장1길 16,-,-,-,-
31,제주특별자치도 제주시 아라일동,6088,6088,0,아라스위첸,101.9994,202108,12,"94,700",-,11,-,-,2012,아란9길 22,-,-,-,-
32,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,101.9934,202108,12,"70,000",-,10,-,-,2017,대청로 34,-,-,-,-
33,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,59.933,202108,12,"27,000",-,7,-,-,2000,우정로11길 22,-,-,-,-
34,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.85,202108,12,"50,000",-,7,-,-,2010,하귀9길 45,-,-,-,-
35,제주특별자치도 서귀포시 중문동,1789,1789,0,중문푸른마을,59.99,202108,12,"23,000",-,5,-,-,2003,천제연로 239,-,-,-,-
36,제주특별자치도 제주시 연동,274-30,274,30,크라운아트빌,22.8844,202108,12,"8,900",-,9,-,-,2012,연동8길 15,-,-,-,-
37,제주특별자치도 서귀포시 중문동,Feb-99,1999,2,민우중문,54.39,202108,12,"10,000",-,5,-,-,1993,천제연로213번길 14-3,-,-,-,-
38,제주특별자치도 제주시 삼도이동,599-3,599,3,수미안아파트,80.47,202108,12,"37,000",-,9,-,-,2019,서사로 73,-,-,-,-
39,제주특별자치도 제주시 이호이동,1046,1046,0,이호휴캐슬,84.671,202108,12,"30,500",-,5,-,-,2017,오광로 65,-,-,-,-
40,제주특별자치도 제주시 이도이동,324-6,324,6,동인미노스빌(가동),56.59,202108,12,"22,500",-,10,-,-,2003,천수로 21,-,-,-,-
41,제주특별자치도 제주시 이도이동,777,777,0,주공2차,39.72,202108,11,"65,000",-,1,-,-,1988,구남로 43,-,-,-,-
42,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,84.89,202108,11,"30,500",-,4,-,-,2016,중문상로82번길 15,-,-,-,-
