NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
505,제주특별자치도 제주시 일도이동,113-7,113,7,대유대림아파트,84.945,202505,17,"43,000",제주대유대림아파트 317,4,개인,법인,1997,남광로 181,-,중개거래,제주 제주시,25.06.11
506,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,75.18,202505,17,"53,500",220,3,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,25.07.08
507,제주특별자치도 제주시 외도일동,560-2,560,2,부영(2차),84.9873,202505,16,"44,000",-,8,개인,개인,2001,우평로 318,-,중개거래,제주 제주시,-
508,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202505,16,"48,200",112동,4,개인,개인,2016,대청로 12,-,직거래,-,25.05.23
509,제주특별자치도 제주시 삼양이동,2312,2312,0,엔에이치에프제주삼화1단지,59.98,202505,16,"42,000",-,6,개인,개인,2017,화삼북로 87,20250516,중개거래,제주 제주시,-
510,제주특별자치도 제주시 연동,284-5,284,5,미도스카이빌,28.9,202505,16,"8,100",-,5,개인,개인,2012,노연로 118-1,-,중개거래,제주 제주시,25.05.29
511,제주특별자치도 제주시 애월읍 애월리,1596-1,1596,1,그린트리,80.04,202505,16,"29,000",-,6,개인,개인,2017,애월로10길 4,-,직거래,-,25.06.16
512,제주특별자치도 제주시 아라일동,6088,6088,0,아라스위첸,101.863,202505,16,"84,000",-,13,개인,개인,2012,아란9길 22,-,중개거래,제주 제주시,-
513,제주특별자치도 제주시 이도이동,1780-1,1780,1,석정시티빌,19.55,202505,15,"5,500",-,5,개인,개인,2011,서광로30길 8,-,직거래,-,25.05.29
514,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.896,202505,15,"20,500",108,5,개인,개인,2000,우정로11길 22,-,중개거래,제주 제주시,25.06.05
515,제주특별자치도 제주시 화북일동,09월 01일,9,1,"화북주공2,3단지",59.93,202505,15,"27,000",화북2아파트206,2,개인,개인,1998,동화로1길 39,-,중개거래,제주 제주시,25.07.11
516,제주특별자치도 제주시 화북일동,09월 01일,9,1,"화북주공2,3단지",59.93,202505,15,"27,000",-,2,개인,개인,1998,동화로1길 39,20250602,중개거래,제주 제주시,-
517,제주특별자치도 제주시 아라일동,6088,6088,0,아라스위첸,84.9767,202505,15,"72,500",108,7,개인,개인,2012,아란9길 22,-,중개거래,제주 제주시,25.07.10
